"","is.highlightTrue","X.2","grp1","grp2","artist.display.bio_1","artist.nationalityAmerican_1","artist.nationalityFrench_1","artist.nationality_1","artist.roleArtist_1","artist.role_1","city_1","classificationDrawings_1","classificationPaintings_1","classificationPhotographs_1","classificationPrints_1","classification_1","countryEgypt_1","country_1","culture_1","departmentAsianArt_1","departmentCostumeInstitute_1","departmentDrawingsandPrints_1","departmentEgyptianArt_1","departmentEuropeanSculptureandDecorativeArts_1","departmentGreekandRomanArt_1","departmentPhotographs_1","dimensions_1","geography.typeFrom_1","geography.typeMadein_1","geography.type_1","grp3","mediumOiloncanvas_1","object.begin.date","object.end.date","object.namePainting_1","object.namePhotograph_1","object.namePrint_1","region_1","object.id"
"2734",1,-1.01496268490286,-0.236755956440945,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.342312662904,-1.22438103619577,0,0,0,1,316330
"2735",0,0.433653171016319,0.447390515759902,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.578442956905582,0.62836502075367,0,0,1,1,414601
"2736",1,-1.15563213457732,-0.489059308405104,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.551614215756075,0.606521283747835,0,1,0,1,266850
"2737",1,-1.04477342920473,-0.265519173446096,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.340561452046626,0.554890632643135,0,0,0,1,312429
"2738",1,-0.616243979865295,0.725429785173622,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0.53015122283647,0.57673436964897,1,0,0,1,459159
"2739",0,1.60372488486486,0.0135111300932397,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0.429990589211647,0.46354409607328,0,0,0,1,356832
"2740",0,1.71085724719972,0.987674448210356,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,-2.87709890315083,-3.01358167640097,0,0,0,1,547914
"2741",0,0.0433187378136602,0.232096094424173,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0472338821453572,0.0385841215961298,0,0,1,1,386157
"2742",0,0.102940226417408,0.884018472634323,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.57307720867568,0.622407637933897,0,0,0,1,489727
"2743",0,0.500727345695535,-0.923891015926849,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.215360660015597,0.25503569738122,0,0,0,1,196552
"2744",1,-0.52308540392194,0.772604558043712,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.204956284660002,-0.22155492820063,0,0,0,1,467642
"2745",1,-1.56180352569035,-1.63279011390575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.335195703816725,0.360282793863879,0,0,0,1,22932
